"","brand","emotion","age","n"
"401","bubble gum","despair",30,164
"402","bubble gum","despair",31,155
"403","bubble gum","despair",33,153
"404","bubble gum","despair",29,136
"405","bubble gum","despair",34,135
"406","bubble gum","despair",45,128
"407","bubble gum","despair",27,125
"408","bubble gum","despair",36,121
"409","bubble gum","despair",37,117
"410","bubble gum","despair",28,111
"411","bubble gum","despair",38,111
"412","bubble gum","despair",40,106
"413","bubble gum","despair",46,98
"414","bubble gum","despair",26,95
"415","bubble gum","despair",39,87
"416","bubble gum","despair",43,87
"417","bubble gum","despair",41,86
"418","bubble gum","despair",42,83
"419","bubble gum","despair",44,79
"420","bubble gum","despair",25,69
"421","bubble gum","despair",24,68
"422","bubble gum","despair",50,59
"423","bubble gum","despair",47,58
"424","bubble gum","joy",34,55
"425","bubble gum","despair",52,53
"426","bubble gum","joy",30,53
"427","bubble gum","joy",31,51
"428","bubble gum","despair",22,50
"429","bubble gum","despair",48,50
"430","bubble gum","joy",26,49
"431","bubble gum","joy",45,49
"432","bubble gum","despair",23,48
"433","bubble gum","joy",33,47
"434","bubble gum","despair",51,45
"435","bubble gum","despair",49,44
"436","bubble gum","joy",27,44
"437","bubble gum","joy",32,44
"438","bubble gum","joy",40,40
"439","bubble gum","joy",35,39
"440","bubble gum","joy",25,38
"441","bubble gum","joy",28,38
"442","bubble gum","joy",44,38
"443","bubble gum","joy",42,37
"444","bubble gum","despair",53,36
"445","bubble gum","despair",58,36
"446","bubble gum","despair",55,35
"447","bubble gum","joy",29,35
"448","bubble gum","joy",38,35
"449","bubble gum","despair",54,34
"450","bubble gum","joy",24,33
"451","bubble gum","despair",21,32
"452","bubble gum","joy",37,31
"453","bubble gum","joy",50,31
"454","bubble gum","despair",57,29
"455","bubble gum","joy",36,29
"456","bubble gum","joy",39,29
"457","bubble gum","despair",20,28
"458","bubble gum","joy",43,26
"459","bubble gum","joy",21,25
"460","bubble gum","despair",56,24
"461","bubble gum","neutral",34,24
"462","bubble gum","despair",19,23
"463","bubble gum","joy",23,23
"464","bubble gum","joy",41,23
"465","bubble gum","joy",46,22
"466","bubble gum","neutral",30,22
"467","bubble gum","joy",49,21
"468","bubble gum","joy",22,20
"469","bubble gum","joy",48,20
"470","bubble gum","joy",18,19
"471","bubble gum","joy",47,19
"472","bubble gum","joy",51,19
"473","bubble gum","despair",60,18
"474","bubble gum","despair",62,18
"475","bubble gum","joy",52,18
"476","bubble gum","neutral",28,17
"477","bubble gum","neutral",33,17
"478","bubble gum","neutral",36,17
"479","bubble gum","neutral",44,17
"480","bubble gum","despair",59,16
"481","bubble gum","neutral",24,16
"482","bubble gum","despair",17,15
"483","bubble gum","despair",18,15
"484","bubble gum","joy",13,15
"485","bubble gum","joy",19,15
"486","bubble gum","joy",53,15
"487","bubble gum","joy",54,15
"488","bubble gum","neutral",40,15
"489","bubble gum","joy",20,14
"490","bubble gum","neutral",35,14
"491","bubble gum","despair",64,13
"492","bubble gum","joy",55,13
"493","bubble gum","neutral",39,13
"494","bubble gum","neutral",45,13
"495","bubble gum","despair",61,12
"496","bubble gum","despair",67,12
"497","bubble gum","joy",17,12
"498","bubble gum","joy",57,12
"499","bubble gum","neutral",31,12
"500","bubble gum","neutral",37,12
"501","bubble gum","neutral",38,12
"502","bubble gum","neutral",42,12
"503","bubble gum","neutral",43,12
"504","bubble gum","despair",63,11
"505","bubble gum","despair",65,11
"506","bubble gum","despair",66,11
"507","bubble gum","joy",16,11
"508","bubble gum","joy",56,11
"509","bubble gum","neutral",25,11
"510","bubble gum","neutral",26,11
"511","bubble gum","neutral",47,11
"512","bubble gum","joy",58,10
"513","bubble gum","neutral",27,10
"514","bubble gum","neutral",29,10
"515","bubble gum","despair",16,9
"516","bubble gum","neutral",32,9
"517","bubble gum","joy",14,8
"518","bubble gum","despair",12,7
"519","bubble gum","despair",69,7
"520","bubble gum","despair",70,7
"521","bubble gum","joy",59,7
"522","bubble gum","neutral",41,7
"523","bubble gum","neutral",50,7
"524","bubble gum","joy",11,6
"525","bubble gum","neutral",13,6
"526","bubble gum","neutral",23,6
"527","bubble gum","neutral",46,6
"528","bubble gum","despair",14,5
"529","bubble gum","joy",9,5
"530","bubble gum","joy",10,5
"531","bubble gum","joy",12,5
"532","bubble gum","joy",15,5
"533","bubble gum","joy",60,5
"534","bubble gum","joy",61,5
"535","bubble gum","joy",62,5
"536","bubble gum","joy",65,5
"537","bubble gum","neutral",18,5
"538","bubble gum","neutral",20,5
"539","bubble gum","neutral",21,5
"540","bubble gum","neutral",54,5
"541","bubble gum","neutral",58,5
"542","bubble gum","despair",13,4
"543","bubble gum","despair",15,4
"544","bubble gum","despair",71,4
"545","bubble gum","neutral",19,4
"546","bubble gum","neutral",22,4
"547","bubble gum","neutral",48,4
"548","bubble gum","neutral",53,4
"549","bubble gum","neutral",59,4
"550","bubble gum","neutral",67,4
"551","bubble gum","despair",9,3
"552","bubble gum","despair",68,3
"553","bubble gum","despair",72,3
"554","bubble gum","joy",6,3
"555","bubble gum","joy",8,3
"556","bubble gum","joy",67,3
"557","bubble gum","neutral",49,3
"558","bubble gum","neutral",52,3
"559","bubble gum","neutral",55,3
"560","bubble gum","neutral",57,3
"561","bubble gum","neutral",60,3
"562","bubble gum","neutral",64,3
"563","bubble gum","despair",74,2
"564","bubble gum","despair",75,2
"565","bubble gum","joy",68,2
"566","bubble gum","joy",69,2
"567","bubble gum","neutral",14,2
"568","bubble gum","neutral",51,2
"569","bubble gum","neutral",56,2
"570","bubble gum","neutral",66,2
"571","bubble gum","neutral",70,2
"572","bubble gum","despair",6,1
"573","bubble gum","despair",7,1
"574","bubble gum","despair",8,1
"575","bubble gum","despair",11,1
"576","bubble gum","despair",85,1
"577","bubble gum","despair",97,1
"578","bubble gum","joy",5,1
"579","bubble gum","joy",7,1
"580","bubble gum","joy",63,1
"581","bubble gum","joy",64,1
"582","bubble gum","joy",70,1
"583","bubble gum","joy",71,1
"584","bubble gum","joy",72,1
"585","bubble gum","joy",74,1
"586","bubble gum","joy",77,1
"587","bubble gum","joy",99,1
"588","bubble gum","neutral",9,1
